가_ga g a
각_gaG g a G
갂_gaG g a G
갃_gaG g a G
간_gaN g a N
갅_gaN g a N
갆_gaN g a N
갇_gaD g a D
갈_gaL g a L
갉_gaG g a G
갊_gaM g a M
갋_gaL g a L
갌_gaL g a L
갍_gaL g a L
갎_gaB g a B
갏_gaL g a L
감_gaM g a M
갑_gaB g a B
값_gaB g a B
갓_gaD g a D
갔_gaD g a D
강_gaNG g a NG
갖_gaD g a D
갗_gaD g a D
갘_gaG g a G
같_gaD g a D
갚_gaB g a B
갛_gaD g a D
개_ge g e
객_geG g e G
갞_geG g e G
갟_geG g e G
갠_geN g e N
갡_geN g e N
갢_geN g e N
갣_geD g e D
갤_geL g e L
갥_geG g e G
갦_geM g e M
갧_geL g e L
갨_geL g e L
갩_geL g e L
갪_geB g e B
갫_geL g e L
갬_geM g e M
갭_geB g e B
갮_geB g e B
갯_geD g e D
갰_geD g e D
갱_geNG g e NG
갲_geD g e D
갳_geD g e D
갴_geG g e G
갵_geD g e D
갶_geB g e B
갷_geD g e D
갸_gya g ya
갹_gyaG g ya G
갺_gyaG g ya G
갻_gyaG g ya G
갼_gyaN g ya N
갽_gyaN g ya N
갾_gyaN g ya N
갿_gyaD g ya D
걀_gyaL g ya L
걁_gyaG g ya G
걂_gyaM g ya M
걃_gyaL g ya L
걄_gyaL g ya L
걅_gyaL g ya L
걆_gyaB g ya B
걇_gyaL g ya L
걈_gyaM g ya M
걉_gyaB g ya B
걊_gyaB g ya B
걋_gyaD g ya D
걌_gyaD g ya D
걍_gyaNG g ya NG
걎_gyaD g ya D
걏_gyaD g ya D
걐_gyaG g ya G
걑_gyaD g ya D
걒_gyaB g ya B
걓_gyaD g ya D
걔_gye g ye
걕_gyeG g ye G
걖_gyeG g ye G
걗_gyeG g ye G
걘_gyeN g ye N
걙_gyeN g ye N
걚_gyeN g ye N
걛_gyeD g ye D
걜_gyeL g ye L
걝_gyeG g ye G
걞_gyeM g ye M
걟_gyeL g ye L
걠_gyeL g ye L
걡_gyeL g ye L
걢_gyeB g ye B
걣_gyeL g ye L
걤_gyeM g ye M
걥_gyeB g ye B
걦_gyeB g ye B
걧_gyeD g ye D
걨_gyeD g ye D
걩_gyeNG g ye NG
걪_gyeD g ye D
걫_gyeD g ye D
걬_gyeG g ye G
걭_gyeD g ye D
걮_gyeB g ye B
걯_gyeD g ye D
거_geo g eo
걱_geoG g eo G
걲_geoG g eo G
걳_geoG g eo G
건_geoN g eo N
걵_geoN g eo N
걶_geoN g eo N
걷_geoD g eo D
걸_geoL g eo L
걹_geoG g eo G
걺_geoM g eo M
걻_geoL g eo L
걼_geoL g eo L
걽_geoL g eo L
걾_geoB g eo B
걿_geoL g eo L
검_geoM g eo M
겁_geoB g eo B
겂_geoB g eo B
것_geoD g eo D
겄_geoD g eo D
겅_geoNG g eo NG
겆_geoD g eo D
겇_geoD g eo D
겈_geoG g eo G
겉_geoD g eo D
